        i,               E_x[1] (V/m),               E_y[1] (V/m),               E_z[1] (V/m)
 1.00e+00,        +2.445559203287e+03,        -1.449177963581e+01,        +1.351677956182e+00
 2.00e+00,        -1.670643780035e+03,        +9.899822289172e+00,        -9.233766931595e-01
