        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F)
 1.00e+00,        +8.728879373221e+11,        +1.680341975679e+11
 2.00e+00,        +1.680341975679e+11,        +4.358150755934e+11
