        i,               E_x[1] (V/m),               E_y[1] (V/m),               E_z[1] (V/m)
 1.00e+00,        +2.354956846326e+03,        -1.323349808899e+01,        +1.301601389238e+00
 2.00e+00,        -1.592451308061e+03,        +8.948657116520e+00,        -8.801591579537e-01
