        i,               E_x[1] (V/m),               E_y[1] (V/m),               E_z[1] (V/m)
 1.00e+00,        +2.337300896269e+03,        +1.334014495404e+01,        -1.974703327953e+01
 2.00e+00,        -1.587529647204e+03,        -1.151288599805e+01,        +1.802818087968e+01
