        i,               E_x[1] (V/m),               E_y[1] (V/m),               E_z[1] (V/m)
 1.00e+00,        +2.445559203450e+03,        -1.449177963678e+01,        +1.351677956272e+00
 2.00e+00,        -1.670643780146e+03,        +9.899822289826e+00,        -9.233766932299e-01
