x,y,z,V,triangle
-4.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,1
0.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,1
0.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,1
-4.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,2
0.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,2
-4.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,2
0.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,3
1.4840742039999988e-01,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,3
1.4840742039999988e-01,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,3
0.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,4
1.4840742039999988e-01,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,4
0.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,4
1.4840742039999988e-01,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,5
1.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,5
1.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,5
1.4840742039999988e-01,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,6
1.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,6
1.4840742039999988e-01,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,6
1.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,7
1.9047973224000003e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,7
1.9047973224000003e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,7
1.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,8
1.9047973224000003e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,8
1.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,8
1.9047973224000003e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,9
2.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,9
2.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,9
1.9047973224000003e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,10
2.0000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,10
1.9047973224000003e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,10
2.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,11
2.5000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,11
2.5000000000000000e+00,-8.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,11
2.0000000000000000e+00,-8.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,12
