               i,              E_elec (J),               E_mag (J),               E_cap (J),               E_ind (J),           E_elec[1] (J),               p_elec[1],            E_mag[1] (J),                p_mag[1]
 1.000000000e+00,        +2.330963002e-01,        +0.000000000e+00,        +0.000000000e+00,        +0.000000000e+00,        +2.330963002e-01,        +1.000000000e+00,        +0.000000000e+00,        +0.000000000e+00
 2.000000000e+00,        +4.668653292e-01,        +0.000000000e+00,        +0.000000000e+00,        +0.000000000e+00,        +4.668653292e-01,        +1.000000000e+00,        +0.000000000e+00,        +0.000000000e+00
