               i,            E_x[1] (V/m),            E_y[1] (V/m),            E_z[1] (V/m)
 1.000000000e+00,        +2.354956846e+03,        -1.323349809e+01,        +1.301601389e+00
 2.000000000e+00,        -1.592451308e+03,        +8.948657117e+00,        -8.801591580e-01
