Index,Slot,Conductor,Px,Py,Pz,Gx,Gy,Gz,Tx,Ty,Tz,Nz,S0,S1,VertexArm
1,0,1,-1,0,0,1,0,0,0,-1,0,1,-1,0,0
2,0,2,0,0,0,-1,0,0,0,1,0,1,0,1,0
