Facet,Conductor,Plane,X,Y
1,1,0,-1,0
1,1,0,-1,1
1,1,0,-1.9166666667000001,0.5
2,1,0,-1,0
2,1,0,-1.9166666667000001,0.5
2,1,0,-2.8333333333000001,0
3,1,0,-1,1
3,1,0,-1.9166666667000001,0.5
3,1,0,-2.8333333333000001,1
4,1,0,-1.9166666667000001,0.5
4,1,0,-2.8333333333000001,0
4,1,0,-2.8333333333000001,1
5,1,0,-2.8333333333000001,0
5,1,0,-2.8333333333000001,1
5,1,0,-3.75,0.5
6,1,0,-2.8333333333000001,0
6,1,0,-3.75,0.5
6,1,0,-4.6666666667000003,0
7,1,0,-2.8333333333000001,1
7,1,0,-3.75,0.5
7,1,0,-4.6666666667000003,1
8,1,0,-3.75,0.5
8,1,0,-4.6666666667000003,0
8,1,0,-4.6666666667000003,1
9,1,0,-4.6666666667000003,0
9,1,0,-4.6666666667000003,1
9,1,0,-5,0.81818181820000002
9,1,0,-5,0.18181818180000001
10,1,0,-4.6666666667000003,0
10,1,0,-5,0
10,1,0,-5,0.18181818180000001
11,1,0,-4.6666666667000003,1
11,1,0,-5,0.81818181820000002
11,1,0,-5,1
12,2,0,0.91666666670000008,0.5
12,2,0,1.8333333333000001,0
12,2,0,1.8333333333000001,0.5
13,2,0,0.91666666670000008,0.5
13,2,0,1.8333333333000001,0
13,2,0,0,0
14,2,0,0.91666666670000008,0.5
14,2,0,1.8333333333000001,0.5
14,2,0,1.8333333333000001,1
15,2,0,0.91666666670000008,0.5
15,2,0,1.8333333333000001,1
15,2,0,0,1
16,2,0,0.91666666670000008,0.5
16,2,0,0,0
16,2,0,0,1
17,2,0,1.8333333333000001,0
17,2,0,1.8333333333000001,0.5
17,2,0,2.75,0.5
18,2,0,1.8333333333000001,0
18,2,0,2.75,0.5
18,2,0,3.6666666667000003,0
19,2,0,1.8333333333000001,0.5
19,2,0,1.8333333333000001,1
19,2,0,2.75,0.5
20,2,0,1.8333333333000001,1
20,2,0,2.75,0.5
20,2,0,3.6666666667000003,1
21,2,0,2.75,0.5
21,2,0,3.6666666667000003,0
21,2,0,3.6666666667000003,0.5
22,2,0,2.75,0.5
22,2,0,3.6666666667000003,0.5
22,2,0,3.6666666667000003,1
23,2,0,3.6666666667000003,0
23,2,0,3.6666666667000003,0.5
23,2,0,4,0.5
23,2,0,4,0.18181818180000001
24,2,0,3.6666666667000003,0
24,2,0,4,0
24,2,0,4,0.18181818180000001
25,2,0,3.6666666667000003,0.5
25,2,0,3.6666666667000003,1
25,2,0,4,0.81818181820000002
25,2,0,4,0.5
26,2,0,3.6666666667000003,1
26,2,0,4,0.81818181820000002
26,2,0,4,1
