x,y,z,V,triangle
-5.0000000000000000e+00,-2.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,1
-1.5000000000000000e+00,-2.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,1
-1.5000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,1
-5.0000000000000000e+00,-2.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,2
-1.5000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,2
-5.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,2
-1.5000000000000000e+00,-2.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,3
2.0000000000000000e+00,-2.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,3
2.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,3
-1.5000000000000000e+00,-2.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,4
2.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,4
-1.5000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,4
2.0000000000000000e+00,-2.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,5
4.0000000000000000e+00,-2.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,5
4.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,5
2.0000000000000000e+00,-2.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,6
4.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,6
2.0000000000000000e+00,-2.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,6
4.0000000000000000e+00,-2.0000000000000000e+00,-2.0499999999999998e+00,0.0000000000000000e+00,7
4.0000000000000000e+00,-5.0000000000000000e-01,-2.0499999999999998e+00,0.0000000000000000e+00,7
